product,verified,rating,date,author,content,title
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,tkzo,"Great quality overall, but I had to return them. It wasnt clear to me whether or not I  had to pay for nest service every month just to use it.",Nest?
Google - Nest Cam Outdoor security camera - White,1,3,23 Jul 2020,Matt,"I originally bought a 2 pack of nest outdoor cams.  I only had a few days to get them installed before a long trip out of town. I went through the manual step by step to ensure everything was working. Both cameras were nested in the app and working before I installed them as per the manual.

 I installed the first cam and checked it. Everything worked great, no problems. Installed the second cam, checked it, worked fine. 

Then the first cam that was installed went dark. After referencing the manual, I determined it went into some sort of bootup loop and doesn't function at all. 

The place of purchase didn't have anymore to do a swap. And nest won't allow a swap, until they are satisfied it is broken. Just hurts when you're far from home without the ability to trouble shoot it a second time around, due to there long online wait times and lack of ability to receive phone calls.",If they work they are great.
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,BigJ2049,"Best cameras I have purchased to date, night mode is good and the app works great",Best camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,BrettG,"It does what it’s supposed to and it does it quite well. 

Getting the camera running is very simple just like all of the other Nest products. Plug it in, scan the barcode, connect to WiFi, and you’re done. Installing this camera to run off indoor power is another story. Fortunately, I was installing this outside of my garage, overlooking my driveway so I was able to sneak the wire through the vinyl soffit and power it from the same outlet as my garage door openers. Others may not be so lucky depending where you install the camera. Do note that you should make every attempt possible to power this from inside your home. I am not sure what the point of having it powered outside would be as it can then be easily disconnect or stolen. If you are having a hard time with finding an indoor outlet and a place for the giant AC adapter, you could always get a POE adapter/splitter and forego the Nest power disc…

Now onto the Nest camera itself. I am getting great video quality, the audio is a nice feature, notifications and motion capture works wonderfully. 24/7 recording is a breath of fresh air compared to the Arlo cameras I use inside my home. They do a decent job at capturing motion, but I have had a couple missed events. The wife didn’t want me running wires so the Arlo system worked out nicely in terms of being able to hide the cameras away. To be honest, I don’t want 24/7 video of the inside of my home being pumped into the internet anyways. On the outside, I want 24/7 video, and you should as well. There is a lot of information that leads up to an event and a lot that happens after an event…

The Nest Outdoor cam has great build quality and works just as I had hoped. Daytime footage is perfect while nighttime is something to be desired. I am getting a ton of glare/interference from the IR LEDs. I believe this is from the IR light being reflected off the nearby gutter and wall. I need to try repositioning it to see if it goes away. Also, you can use the digital zoom to crop out any interference and the exposure will be readjusted. 

The only real downside I can think of is the data usage. Most broadband service comes with a data cap nowadays. So be mindful of how much data you are consuming with these. If you are a heavy hitter with streaming content, a couple Nest cams may put you over the edge. In terms of video quality vs data usage: Low = 30gb/mo, Med = 120gb/mo, and High = 300gb/mo. 

For those complaining about having to pay for Nest Aware, think about what you are getting for a measly $5/mo or $50/year. You are getting continuous 24/7 recording with cloud storage of 1080p video for 5 days, smart notifications, etc. If something was to happen, you are going to know within 5 days and you can download & save all the video you need. Alternatively, you could buy an IP camera, build a decent computer and buy/run BlueIris which would work just as well as the Nest setup. However, at that point, you are already at least $500 into managing 1 camera and all the maintenance & support is on you. In retrospect, $50 or $100 per year isn’t really that bad for what you are getting. Keep in mind, you are essentially paying for the convenience of not having to set up and monitor a security camera yourself. Would it be nice if Nest allowed access to the private stream so that you could use BlueIris to store the 24/7 stream locally? Yes, I would like nothing more. However, Nest is a company, and the goal of any company is to make money. (To some degree, you can do this, but it’s pretty poor since access to the RTMP stream was removed from sharing.)

All in all, I am pleased. Before buying these, you should do your homework and know the limitations & requirements of utilizing the Nest cameras.",Security & Convenience
Google - Nest Cam Outdoor security camera - White,1,5,23 Jan 2020,oldRetiredguy,I've have other cams from three other company's and every one of them give you a decent picture but when it comes to software nest comes out way ahead of the other.  Other brands make you use  their Proprietary software which has no documentation and unbelievable  complicated so in my case makes it very difficult to search and find what you need and then if you ever need to go to court you most likely wont be able to submit it as evidence. with nest you do pay a small fee but it is worth every penny when the time comes you need it.,Its not just the camera its the software
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,Xavi81,I installed both of these cameras in my front and back yard.  As soon as they notice a person I get a notification to my phone.  I don't have any cons to give.  Best cameras especially if you have other nest products.,Great camera with fast notifications
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Homeowner,"I have both Arlo Pro and the Nest Cam Outdoor cameras. I find the quality of the recording of the Nest Camera to be better than the Arlo Pro. I also like the continuous 24/7 recording that the Nest camera provides. One thing I hope there will be an improvement on with the Nest camera is the ability to configure the alerts. What I mean by that is, with the Arlo Pro, for EVERY detection, I will see an alert. I never miss one. Never. With the Nest, it works differently. When you get an alert for a motion detection, there is a quiet window period where there will be no more alerts. For the next 20-30 minutes or so after an alert, the Nest system stops sending you alerts. When I spoke with Nest customer service, they indicated that is by design and is not configurable. So if you get the first alert, but 15 minutes later another event had occurred, one would not get another alert for it. Nest should allow this time period to be configurable. Other than that, I have been very happy with the Nest camera in general.",Happy with purchase
Google - Nest Cam Outdoor security camera - White,1,4,23 Sep 2020,Jess,I needed the ability to record 24/7 for several days.  Every other outdoor cam only offered event recording.  These cameras also happen to have great resolution and custom ability!,Great cameras
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,LesB,A snap to install and we are happy with the quality of the picture.  Gives us true comfort when we head south for the winter.,Great camera for the home
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Jedi,Great camera. Works just like it was designed to. I would definitely buy more to add to different areas of my home.,Great Camera for your home!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Kingpin05,"Easy install,Great quality picture very crisp and clear.Night Vision is excellent Highly recommend",Great Camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Dec 2019,FLapple,"This isn’t the cheapest security camera obviously. I bought my second one of this because of the 24hr recording, other cheaper cameras are event-only recordings. Also bought because of the app is pretty good, and everything is cloud storage and you can scroll through every second of the day for the past few days. For 5 bucks you can scroll back for 5 days. Also is a perk that the nest thermostat that I have is right there in the same app. All Nest (now google) integrates into Google Home and all that fine. “Hey google, set the AC to 72!”",Buy for the continuous cloud recording
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,Awesomecams,I love my cams and i love buying things from best buy...,Nest is a great product
Google - Nest Cam Outdoor security camera - White,1,4,23 Oct 2020,techJunky,great product.  super happy with the workers at local Best Buy. they treat you how we should be treated,I see you
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,Evelyn,Great view and quality. Love that we are able to speak to the person outside the camera and we can also hear everything.,Best camera
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2018,Performance,Very good outdoor cam. Video is high quality and easy to capture in night,Good for the price
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,SouthHighlandsMan,"I purchased this single unit along with the double pack and this brand for cameras is the only one I will purchase. The video quality is amazing both during daytime hours and nighttime hours. Crystal clear quality and can be viewed on your MacBook Pro (or laptop), any tablet with app access and also the Google Home Hub which I purchased tonight. The quality is literally breathtaking and since they are so powerful; they do need to be plugged into a source of power which didn’t bother me. I was able
to his it behind the siding on my home as it is was built over 100 years ago and my friend who also owns this brand of cameras was able to drill a small home into his eves and run the wires within the attack.

It comes with professional wire holding mounts which screw in and the wire can be painted without any issue. You can also discreetly run the wire through a window such as I did and window will still close and screen will stay in place. I have an alarm system with sensors on all windows and it didn’t cause any issues with the sensors either and you can hardly even see the wire running inside a window. I only had to do this with one camera and the window is upstairs.

The attached image is shown on a Google Home Hub and since I have so much smart home products, it is in 720 and not 1080 until I upgrade my internet speed. The camera(s) doesn’t use that much bandwidth, it’s all the other 12 items logged into my network.",A must have!!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Boughtacamera,"I bought this camera after trying others and the BB salesman suggested it for my needs. I needed to watch my vehicle at night in low/no light area. He said night vision up to 45 feet. It's the best I've seen. Linked up to my android and PC. Free nest upgraded service for one month included. I tried Motorola and Logitech Circle 2, neither work as well as this camera. Worth the investment.",Great night vision range
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,ShinyTheGrandpa,"Installed two outdoor NEST camera's to watch over our front and backyards.  They work great.  The night vision capability gives us superb coverage as well.  We added the Nest Aware monitoring and have been very pleased, the recorded video is very clear and good resolution.  Would totally recommend this product.",Love my NEST Cam's
Google - Nest Cam Outdoor security camera - White,1,4,20 Nov 2020,Johnhenry83,These work exactly how advertised. My only complaint would be the lack of free features available with the nest home system. Alerts work well and can see my front yard and back yard great even at night. Had it installed professionally because I had to run cables through the attic. Very clean job.,Nest is a great free alternative for security
Google - Nest Cam Outdoor security camera - White,1,5,23 Jun 2020,happynesting,I bought one of the nest cams about four years ago and I love it by far out exceeds my Brinks system don’t be fooled when someone says it’s HD quality the nest cam is twice as clear as the Brinks that I am paying $60 a month for as soon as my contract is up with Brinks I am going full Nest Cam ...,Love Nest
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2019,Cox06,Wired up seems to be much better than the ARLO system. No glitches and seems to run much smoother. Nightvision is leaps and bounds better than ARLO. No issues with camera signal strength like the ARLO. Only reason this isn't 5 Stars for me is lack of solar power hook up. Having it outside and not wanting to drill through something would be big plus to hook up to a solar panel for power.,Much better than Arlo
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,Veragirl78,We have installed one camera to be used to view our back deck and swimming pool. The view is clear and crisp even at night.,Great camera so far
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Craig,Short and sweet review here. I purchased the Nest cams about a month ago. We already have the Nest thermostat so I wanted to keep it the same. Little did I know these are probably the best cameras on the market. They do everything I could ask for. Great pictures during the day and night.,Awesome
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Odsteve,Love love love this and all my nest products! Great just cant say that enough.,Amazing
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,PLewis,"So there is nothing better than knowing I can watch my home at any point during the day from any location in the world. The video quality and wide angle allows for a wonderful full image. For me, I hard wired the system straight into my garage power. No need to plug into an outlet right near the camera. Anyone trying to snip the wire is already caught.",Smile At The Camera Dummy!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,mhova04,These cameras are outstanding. I bought these for my moms house and they didn't disappoint. The coverage is very wide range which makes a difference for bigger houses. The night vision is also pristine. Captures anything moving anytime of the day. The biggest thing I recommend is good wi-fi in your home. As you see on my picture one of my cameras is out and thats because of the weak wi-fi. I will be using more Nest products in the near future.,Best Quality Video Out
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2019,GilsonPires,"Good quality all sensors work perfectly the way it supposed to be, comes with 1 month free membership after that is just $5 if you want Nest aware",Good quality
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,Carl,"Pleasantly surprised that these cameras connected without any problem to my wifi, since they have no external antennas. Picture is very sharp and night vision works well. Only complaint is that there is quite a long lag between real time and the picture.",Has the best wifi range of any camera I've tried.
Google - Nest Cam Outdoor security camera - White,1,5,23 Jun 2020,Exroadie,Since I already had a Nest account adding this camera to it was easy to do.  The installation was pretty simple and can be done with just some basic hand tools and a drill.  It took me about 30 minutes to complete.  The camera comes with 25 feet of cable so be sure to keep that in mind when deciding on a spot to place it.  I also have a Nest Aware account which costs me about $6.50 a month and gives me 30 days of video recording and that cost covers all of your devices.  It's a nice camera and well worth the cost.,Nice Camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,Blaziken33,"I researched a lots of cameras before I decide to get a camera, I had been using Nest for 7 months already and I'm extremely happy with it.",Great Camera system
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2017,pBear,"Pros: Easy to install and set up. Image quality is very good. Multiple activities zones work very well. Good build quality. Mobile App is intuitive especially if you have Nest ecosystem (for some reasons, IOS App is snappier then the Android, and Nest owned by Google...). Cloud storage (yes, it is not free but I am willing to pay just for peace of mind especially when I am traveling).

Cons: Power wire's length is not ""flexible"", I have to install an additional junction box to ""hide"" the excess wire. The power adapter is huge (almost impossible to hide it or feed it through any hole). Additional fee for cloud storage.

Give it a try, you'll love it. This is my 4th Nest Cam.",One of the best outdoor security cameras
Google - Nest Cam Outdoor security camera - White,1,4,23 Oct 2020,Cliff,This is such a good model. Great night vision and almost no lags at any time. Just wish the speaker was loud enough. It is barely audible. Also wish they would come with cableless unit already.,Great Buy
Google - Nest Cam Outdoor security camera - White,1,4,23 Aug 2020,Justin,"You won't catch license plate numbers with this guys, but they do a good job of keeping an eye on your mail deliveries and the neighborhood cat that likes to visit.

I think they're a little overpriced for what you get. Also you have to pay for a subscription for these to really be usable. Thankfully that's dropped to a reasonable $6 a month for all of your cameras.",Zoom leaves a little to be desired
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Fred,"Pricey but well worth it! Great picture quality, night vision is very good for about the first 50 feet.",Google Nest Outdoor Camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,HappyReader,I bought these for my daughter and she loves being able to keep an eye on things when she's not home.,Great product!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,JM92,I'm sure they would have been great. Just didn't work for me because the power cable is too long.,Awesome deal
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Leee,"Very good product.  No concerns.  I have several others, works very well.  Would recommend this product.",Very good outdoor camera.
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,jwhite,Great camera and app system.  I bought this to add to my existing camera (also a Nest).  It has a solid picture and does great in low-light.,Excellent Camera System
Google - Nest Cam Outdoor security camera - White,1,5,20 Nov 2020,JerrDogg97,These cameras were very easy to install ourselves. I would highly recommend.,Great Cameras and easy to install
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,BlindMan,Love the next product I have all the accessories and I’ve been really happy and their service is fantastic if needed,Nest Is The Best
Google - Nest Cam Outdoor security camera - White,1,4,23 Aug 2020,EdwardNewportBeach,"I like the camera's clarity and it works well with the service that you MUST PAY MONTHLY after a brief free period. The worst thing is dealing with Best Buy's installers that do not come equipped to drill holes for this camera to be installed so I can plug it inside, rather than on an exterior outlet.",good but inconvenient install for indoor plugin
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,choclon,"solid camera even after a couple years.  
I have a couple of them! create a link to stream",great to stream!
Google - Nest Cam Outdoor security camera - White,1,4,23 Oct 2020,Brian,they are great if you are already in the google ecosystem. The camera quality for the google price is nothing to brag about but decent. i do wish it was two way speaker not just one way.,google home integration
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,SRQdan,We'll be adding additional camera. It’s nice to not only keep an eye on surroundings but also ensure we can see what exactly happened should someone get hurt in the pool etc. A little peace of mind.  The only downside is the length of the power cord. They should sell it with a shorter cord that can be lengthened if needed.,Nest for our nest
Google - Nest Cam Outdoor security camera - White,1,5,23 Apr 2020,Paul,"I have these set up covering the entrances to my house, with the five day CBR (cloud based recording). It's great to be able to look back. It's sensitive enough to pick up movement, and also to distinguish between people and animals (we get stray cats, raccoons, skunks and even coyotes).

Of course, when power goes out, as it has a couple of times, we have no video, but there's really nothing we can do about that.

I have them situated each about 30 feet from the router, and there's no loss of signal through a couple of walls.",Ease of mind
Google - Nest Cam Outdoor security camera - White,1,5,18 Nov 2020,Gregbadwolf,great outdoor cameras. nest new nest aware is a great value aswell.,great outdoor cameras.
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Marg,"We had 2 of these cameras at our old house, and bought more when we moved into our new house because we liked them so much",Nest Cam
Google - Nest Cam Outdoor security camera - White,1,5,23 Mar 2020,JamesW,This a wonderful camera for the person that is non-technical or doesn’t want to invest $900 on a complete NVR-based system. This camera is very easy to install and configure from your mobile app. All of your surveillance video is securely stored in cloud. Since Google purchased Nest they’ve restructured the pricing for the recorded material for the budget minded. The video quality is excellent at 1080p but the best part of the whole system is the mobile app interface. They are constantly making it feature packed with ease of use in mind.,Nest is the best but also easy to use
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Rubbertoe,Camera works great good quality connection is very easy just plug it wifi thats it,Cam
Google - Nest Cam Outdoor security camera - White,1,5,17 Nov 2020,Great,Clear picture and sound. I am enjoying the ease of the app also.,Great product
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2018,Samsungconsumer,It’s a good camera. The ring (doorbell) captures faces better. The continuous recording package plus added camera is too pricey.,Not bad
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,JeffG,"Easy to set up, picture is clear, love the notifications. I now own 4 units at 2 homes.","Works Great, Easy to set up"
Google - Nest Cam Outdoor security camera - White,1,5,18 Nov 2020,Joshd33,Excellent cameras. Great quality and no connectivity issues,Great cameras
Google - Nest Cam Outdoor security camera - White,1,5,22 Nov 2020,miklon6,"I have all Nest products  and 
i love the outdoor lights.",Great outdoor light
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,Cameras,"Very reliable. App is great after a few initial hiccups.
Nice resolution.  
I would recommend it.",Nest Cameras
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,Pazazz81,We got our first one with the Nest Home Security system.  This was just an additional camera we wanted.  It maintains a connection very well despite being outside the house.  Video quality and motion detection is solid as well.  Definitely recommend if you want an outdoor camera for security.,Good camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,EimHi,This is worth the investment. I have at least 5 of them. Better than Ring or other cameras because this has 24/7 recordings unlike other that only catches clips. I highly recommend Nest!,Excellent Camera!
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Mike,Excellent product. I love the way it just works. So fun to use and practical. I don’t regret this purchase one bit.,Excellent!
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Nester,Works well. Stands up to sea breeze so works in my environment.,Solid product
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Karina,The quality is very nice! Easy to set up. 10/10 would recommend,Very good cameras
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2019,Bert55,Great camera for the value.  It has a clear picture and very easy to install,Excellent camera
Google - Nest Cam Outdoor security camera - White,1,4,23 Aug 2020,AnimeWatcher,I love these cameras so much for the up to date live view and history but it does take a toll on your internet. I had to purchase a range extender for one of the cameras which helped. Also these camera go offline A LOT but reconnect quickly afterward.,Great but Not Perfect
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2016,BSLe,Excellent quality cameras.  I have been very happy with them and would purchase them again.,Good Camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Aug 2020,Ryryflyinghigh,We left Ring due to their price and the quality of what you got for the money. With the Nest cameras they were a little more expensive but have way better quality in videos and audio. Wouldn’t go back to Ring.,Great cameras
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Deee,"Great quality,  picture quality is awesome and sound quality as well.",Great
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,Tbeard87,I needed  cameras for my house with good quality and reasonable price I want to try nest cameras and I was so happy with the quality and easy installation works great with google home,Great camera
Google - Nest Cam Outdoor security camera - White,1,4,22 Nov 2020,gutieboys,"The nest cameras were easy to install, and have great recording quality.",Great purchase
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,Otterbox,these are the best cameras on the market and very easy to install,Great
Google - Nest Cam Outdoor security camera - White,1,5,23 May 2020,socom,"Who this is for: People who want to keep tabs on welcome or unwelcome guests on the front porch, back deck, garage, pool area, driveway, or anywhere else outside.

Why I like it: With the Nest, you get 24/7 recording in crystal-clear 1080p, rather than just clips of action. The camera sends smartphone alerts and keeps a detailed in-app timeline when motion occurs. More importantly, the Nest Cam Outdoor is the only camera we’ve found that’s completely waterproof, which includes the power cord and adapter. That means it can withstand the outdoor elements a lot longer than you can. It requires the Nest Aware subscription service if you want to view your footage.",A Great HD Camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,GMcD,"We installed 2 cameras at our front door over two weeks ago and are happy with them. Daytime picture clarity is great, night is still very acceptable. Video is real time, but notifications are a little delayed so the mail man will have dropped off a parcel and be back down the steps by the time the notification comes through. I really wanted these to check on parcel deliveries, and this is a great solution for us.","Clear picture, decent price"
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2017,Jose,"I really would have liked to stay with this item but unfortunately my wifi was not strong enough. However, while it was inside and near my router, it had excellent camera quality and I loved how I was able to see everything on my phone. I will recommend to those who know they have a long ranged wifi connection or those who are willing to buy wifi extenders.",Wanted to but couldn't
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2017,Vince,This is a great value especially if you need more than one camera. The camera quality is clear. As you start to add more cameras you probably should upgrade your internet speed and router system to a mesh system. I have all nest/Google cameras and my router is Google as well.,Great value
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,Lamreyes,"I have 3 in my home. I have no idea how I ever did without them! Such peace of mind and great resource. I can see if my kids are home, if dogs are digging up the yard, or if I left awning open. Best yet....Major package carrier tried to argue that an item I was missing must have been taken out of package and stolen at my front steps. The moment I told them I had Nest cam that showed driver delivering an empty piece of cardboard, they backed down. I believe the newer NEST Cam version is better in terms of video quality and will look into getting one soon for better image around driveway area.",Cannot live without them!
Google - Nest Cam Outdoor security camera - White,1,5,23 Jul 2020,bill,Easy enough to install if you watch their videos Check your wifi connection with cam powered up IN HOUSE BEFORE you even drill a hole outside This will determine where you can place it and have it upload video I installed one on face of garage using masonry spade bit to run wiring into attic then hole in garage ceiling to plug in on ceiling outlet Second one i mounted on back of house and ran wiring up to attic through hole in soffit Used extension cord in attic to hole in garage ceiling again Will use the Nest monthly service to have extended time to review video playback,Love the video quality
Google - Nest Cam Outdoor security camera - White,1,5,20 Nov 2020,jfhman001,Realible. Bought this nest cameras for my parents house. Its great and easy to use. Just pay monthly if you want your videos stored in the cloud or otherwise free first 4 hours that's being recorded.,Nest the best.
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2018,MarkTrail63026,Great camera and easy to install and set up. Installed on my patio for security. Motion activation is sensitive enough to pick up squirrels and stray cats. I can stream video to the Nest app on my phone or my Google Nest Hub.,Good Video
Google - Nest Cam Outdoor security camera - White,1,5,23 Oct 2020,Orip67,"we have several of the nest cameras.  they work great, record and save alerts - as well as being able to see every second over the past 5 days.  however we recently purchased the competitor's camera, and they are only $10 per month for everything we add.",nice cameras
Google - Nest Cam Outdoor security camera - White,1,4,23 Oct 2020,Jwm351,"These cams do the trick there is no doubt!  My one and only real complaint is that you can not turn off notification for specific times.  Ex; I have one watching my back yard.  I do not want alerted in the evening, but during the day and at night.  It would be nice to turn off notifications (not camera) during the evening hours.",Nice Outdoor cams
Google - Nest Cam Outdoor security camera - White,1,5,23 Nov 2016,Robert,"I've used multiple outdoor cams now, and this is by far the best cloud-service based cam I've seen. The Ring Stick-up is nice, but there's a delay since it's battery powered. The Flir cam is decent, but the night vision is terrible. This cam has great 1080p video, both day and night.

The only thing people might not like is the Nest Aware subscription cost, as it is pricey compared to some others. What you get from it though seems worth it to me, so I don't have a problem paying for it. You do get a 30 day trial period when you sign up though, so you can try it for yourself and decide.

The camera comes with a 25' cord too, which is fantastic. Most of the other plugged in cams don't come with anything as long, and have required me to use extension cords in the past. I prefer the plugged in cams since they generally record all the time, compared to battery operated cams that only record when they detect motion (which results in a delay in recording).",Best outdoor cam so far
Google - Nest Cam Outdoor security camera - White,1,5,22 Nov 2020,PSG1,Easy to install and provides safety and security to my home.  I have purchased several other nest products and found them all to be really great products.,Great security camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Jun 2020,Lilly,"I am not tech smart, so my son in law put these up. I liked them so much I bought another set which he will put up this weekend. They finally went on sale, which is why I bought the second set, and it's wonderful all that I can see. I live in the boonies so security is not just around the corner.  but with these I can see who is at my door, coming down the long driveway, who is around my out buildings and even know when a skunk is there so I can stay inside until he wanders off.  Very happy with the purchase, just need a few more lessons from my S-I-L to know how everything works.",Best eve so far!
Google - Nest Cam Outdoor security camera - White,1,4,23 Nov 2019,Good12334,"I love these cameras the reason I gave them a 4 start is cause I wish they would be better in video quality.
During the day they look great but the night vision looks blurry and hard to make out the vehicle’s that pass.",Security cameras
Google - Nest Cam Outdoor security camera - White,1,5,20 Nov 2020,joan,I bought this Google - Nest Cam Outdoor 1080p Security Camera - White for my daughter to point at the neighborhood mailboxes.  It works very well.,nest camera
Google - Nest Cam Outdoor security camera - White,1,5,23 Sep 2020,Pjay,"The quality of the body of the camera itself is great, through rain and scorching sun it has held up. The cameras have caught several incidents; crashes, vandalism, etc. The cameras have been used for reports to law enforcement as well. 1080p is perfect. The subscription is also a must-do as nest does provide a fair rate for a decent amount of storage space.",Great for everyday peace of mind.
Google - Nest Cam Outdoor security camera - White,1,4,23 Jan 2020,Dennis,"I like them. Ease of installation big plus. I like that I can view any camera and like that I get notification. 

The only issue is clarity of the picture.",I like every aspect of them. Easy to install.
